2019/10/21 14:32:22 [error] 9#0: *13 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 134.209.102.147, server: 192.168.99.100, request: "GET /wp-login.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "git.sosafernando.com"
2019/10/22 07:29:52 [error] 9#0: *73 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 112.29.140.221, server: 192.168.99.100, request: "GET /TP/public/index.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "181.119.112.130"
2019/10/22 07:29:54 [error] 9#0: *75 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 112.29.140.221, server: 192.168.99.100, request: "GET /TP/index.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "181.119.112.130"
2019/10/22 07:29:55 [error] 9#0: *77 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 112.29.140.221, server: 192.168.99.100, request: "GET /thinkphp/html/public/index.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "181.119.112.130"
2019/10/22 07:29:56 [error] 9#0: *79 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 112.29.140.221, server: 192.168.99.100, request: "GET /html/public/index.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "181.119.112.130"
2019/10/22 07:29:57 [error] 9#0: *81 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 112.29.140.221, server: 192.168.99.100, request: "GET /public/index.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "181.119.112.130"
2019/10/22 07:29:58 [error] 9#0: *83 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 112.29.140.221, server: 192.168.99.100, request: "GET /TP/html/public/index.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "181.119.112.130"
2019/10/22 07:29:59 [error] 9#0: *85 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 112.29.140.221, server: 192.168.99.100, request: "GET /elrekt.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "181.119.112.130"
2019/10/22 13:23:04 [alert] 1#0: worker process 7 exited on signal 9
2019/10/22 13:23:04 [alert] 1#0: worker process 6 exited on signal 9
2019/10/22 13:23:04 [alert] 1#0: worker process 8 exited on signal 9
2019/10/22 13:23:04 [alert] 1#0: worker process 9 exited on signal 9
2019/10/23 01:41:55 [error] 10#0: *47 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 51.75.130.155, server: 192.168.99.100, request: "GET /TP/public/index.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "181.119.112.130"
2019/10/23 09:29:34 [error] 10#0: *68 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 47.98.253.9, server: 192.168.99.100, request: "GET /TP/public/index.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "181.119.112.130"
2019/10/23 09:29:36 [error] 10#0: *70 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 47.98.253.9, server: 192.168.99.100, request: "GET /TP/index.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "181.119.112.130"
2019/10/23 09:29:38 [error] 10#0: *72 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 47.98.253.9, server: 192.168.99.100, request: "GET /thinkphp/html/public/index.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "181.119.112.130"
2019/10/23 09:29:39 [error] 10#0: *74 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 47.98.253.9, server: 192.168.99.100, request: "GET /html/public/index.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "181.119.112.130"
